year,month,average_ppt,average_ppm,average_unc
1997,7,4,0.000004,0.01
1997,8,4,0.000004,0.01
1997,9,4.02,0.00000402,0.01
1997,10,4.05,0.00000405,0.01
1997,11,4.08,0.00000408,0.01
1997,12,4.1,0.0000041,0.01
1998,1,4.11,0.00000411,0.01
1998,2,4.13,0.00000413,0.01
1998,3,4.15,0.00000415,0.01
1998,4,4.18,0.00000418,0.01
1998,5,4.19,0.00000419,0.01
1998,6,4.2,0.0000042,0.01
1998,7,4.21,0.00000421,0.01
1998,8,4.22,0.00000422,0.01
1998,9,4.24,0.00000424,0.01
1998,10,4.27,0.00000427,0.01
1998,11,4.29,0.00000429,0.01
1998,12,4.31,0.00000431,0.01
1999,1,4.33,0.00000433,0.01
1999,2,4.35,0.00000435,0.01
1999,3,4.36,0.00000436,0
1999,4,4.36,0.00000436,0
1999,5,4.35,0.00000435,0.01
1999,6,4.36,0.00000436,0.01
1999,7,4.37,0.00000437,0.01
1999,8,4.38,0.00000438,0.01
1999,9,4.4,0.0000044,0.01
1999,10,4.43,0.00000443,0.01
1999,11,4.46,0.00000446,0.01
1999,12,4.48,0.00000448,0.01
2000,1,4.5,0.0000045,0.01
2000,2,4.51,0.00000451,0.01
2000,3,4.53,0.00000453,0.01
2000,4,4.55,0.00000455,0.01
2000,5,4.57,0.00000457,0.01
2000,6,4.58,0.00000458,0.01
2000,7,4.58,0.00000458,0.01
2000,8,4.59,0.00000459,0.01
2000,9,4.62,0.00000462,0.01
2000,10,4.65,0.00000465,0.01
2000,11,4.66,0.00000466,0.01
2000,12,4.68,0.00000468,0.01
2001,1,4.69,0.00000469,0.01
2001,2,4.71,0.00000471,0.01
2001,3,4.73,0.00000473,0.01
2001,4,4.75,0.00000475,0.01
2001,5,4.76,0.00000476,0.01
2001,6,4.76,0.00000476,0.01
2001,7,4.77,0.00000477,0.01
2001,8,4.78,0.00000478,0.01
2001,9,4.81,0.00000481,0.01
2001,10,4.83,0.00000483,0
2001,11,4.86,0.00000486,0.01
2001,12,4.88,0.00000488,0.01
2002,1,4.89,0.00000489,0.01
2002,2,4.91,0.00000491,0.01
2002,3,4.93,0.00000493,0.01
2002,4,4.95,0.00000495,0.01
2002,5,4.96,0.00000496,0.01
2002,6,4.96,0.00000496,0.01
2002,7,4.98,0.00000498,0.01
2002,8,4.99,0.00000499,0
2002,9,5.01,0.00000501,0
2002,10,5.03,0.00000503,0.01
2002,11,5.06,0.00000506,0.01
2002,12,5.09,0.00000509,0.01
2003,1,5.11,0.00000511,0.01
2003,2,5.12,0.00000512,0.01
2003,3,5.15,0.00000515,0.01
2003,4,5.19,0.00000519,0
2003,5,5.22,0.00000522,0
2003,6,5.23,0.00000523,0.01
2003,7,5.24,0.00000524,0.01
2003,8,5.25,0.00000525,0.01
2003,9,5.28,0.00000528,0.01
2003,10,5.3,0.0000053,0
2003,11,5.32,0.00000532,0
2003,12,5.34,0.00000534,0.01
2004,1,5.36,0.00000536,0.01
2004,2,5.38,0.00000538,0.01
2004,3,5.4,0.0000054,0
2004,4,5.42,0.00000542,0
2004,5,5.44,0.00000544,0
2004,6,5.44,0.00000544,0.01
2004,7,5.45,0.00000545,0.01
2004,8,5.47,0.00000547,0
2004,9,5.49,0.00000549,0
2004,10,5.51,0.00000551,0
2004,11,5.54,0.00000554,0
2004,12,5.56,0.00000556,0.01
2005,1,5.58,0.00000558,0.01
2005,2,5.6,0.0000056,0
2005,3,5.62,0.00000562,0
2005,4,5.64,0.00000564,0
2005,5,5.65,0.00000565,0
2005,6,5.65,0.00000565,0
2005,7,5.66,0.00000566,0
2005,8,5.68,0.00000568,0
2005,9,5.7,0.0000057,0
2005,10,5.73,0.00000573,0
2005,11,5.75,0.00000575,0
2005,12,5.78,0.00000578,0.01
2006,1,5.81,0.00000581,0.01
2006,2,5.83,0.00000583,0.01
2006,3,5.85,0.00000585,0
2006,4,5.87,0.00000587,0
2006,5,5.89,0.00000589,0.01
2006,6,5.9,0.0000059,0.01
2006,7,5.91,0.00000591,0
2006,8,5.93,0.00000593,0
2006,9,5.95,0.00000595,0
2006,10,5.97,0.00000597,0
2006,11,6,0.000006,0.01
2006,12,6.03,0.00000603,0
2007,1,6.06,0.00000606,0.01
2007,2,6.09,0.00000609,0.01
2007,3,6.12,0.00000612,0.01
2007,4,6.14,0.00000614,0
2007,5,6.16,0.00000616,0.01
2007,6,6.16,0.00000616,0.01
2007,7,6.17,0.00000617,0.01
2007,8,6.19,0.00000619,0.01
2007,9,6.22,0.00000622,0.01
2007,10,6.26,0.00000626,0.01
2007,11,6.28,0.00000628,0.01
2007,12,6.31,0.00000631,0.01
2008,1,6.34,0.00000634,0.01
2008,2,6.37,0.00000637,0.01
2008,3,6.39,0.00000639,0.01
2008,4,6.41,0.00000641,0.01
2008,5,6.44,0.00000644,0.01
2008,6,6.45,0.00000645,0.01
2008,7,6.46,0.00000646,0.01
2008,8,6.48,0.00000648,0.01
2008,9,6.51,0.00000651,0.01
2008,10,6.55,0.00000655,0
2008,11,6.59,0.00000659,0
2008,12,6.62,0.00000662,0.01
2009,1,6.64,0.00000664,0.01
2009,2,6.67,0.00000667,0.01
2009,3,6.69,0.00000669,0.01
2009,4,6.71,0.00000671,0
2009,5,6.72,0.00000672,0.01
2009,6,6.73,0.00000673,0.01
2009,7,6.75,0.00000675,0.01
2009,8,6.77,0.00000677,0.01
2009,9,6.8,0.0000068,0.01
2009,10,6.83,0.00000683,0.01
2009,11,6.86,0.00000686,0
2009,12,6.89,0.00000689,0.01
2010,1,6.92,0.00000692,0.01
2010,2,6.95,0.00000695,0.01
2010,3,6.98,0.00000698,0.01
2010,4,6.99,0.00000699,0.01
2010,5,7.01,0.00000701,0.01
2010,6,7.03,0.00000703,0.01
2010,7,7.05,0.00000705,0.01
2010,8,7.07,0.00000707,0.01
2010,9,7.08,0.00000708,0.01
2010,10,7.11,0.00000711,0.01
2010,11,7.13,0.00000713,0.01
2010,12,7.16,0.00000716,0.01
2011,1,7.18,0.00000718,0.01
2011,2,7.2,0.0000072,0
2011,3,7.23,0.00000723,0
2011,4,7.26,0.00000726,0.01
2011,5,7.28,0.00000728,0.01
2011,6,7.3,0.0000073,0.01
2011,7,7.3,0.0000073,0.01
2011,8,7.31,0.00000731,0.01
2011,9,7.33,0.00000733,0.01
2011,10,7.37,0.00000737,0.01
2011,11,7.41,0.00000741,0.01
2011,12,7.44,0.00000744,0.01
2012,1,7.47,0.00000747,0.01
2012,2,7.5,0.0000075,0.01
2012,3,7.53,0.00000753,0.01
2012,4,7.55,0.00000755,0.01
2012,5,7.57,0.00000757,0
2012,6,7.59,0.00000759,0.01
2012,7,7.6,0.0000076,0.01
2012,8,7.62,0.00000762,0.01
2012,9,7.65,0.00000765,0.01
2012,10,7.69,0.00000769,0.01
2012,11,7.73,0.00000773,0.01
2012,12,7.75,0.00000775,0.01
2013,1,7.78,0.00000778,0.01
2013,2,7.81,0.00000781,0.01
2013,3,7.83,0.00000783,0.01
2013,4,7.86,0.00000786,0.01
2013,5,7.88,0.00000788,0.01
2013,6,7.9,0.0000079,0.01
2013,7,7.92,0.00000792,0.01
2013,8,7.94,0.00000794,0.01
2013,9,7.97,0.00000797,0.01
2013,10,8,0.000008,0.01
2013,11,8.04,0.00000804,0.01
2013,12,8.06,0.00000806,0.01
2014,1,8.09,0.00000809,0.01
2014,2,8.11,0.00000811,0.01
2014,3,8.14,0.00000814,0.01
2014,4,8.18,0.00000818,0.01
2014,5,8.21,0.00000821,0.01
2014,6,8.23,0.00000823,0.01
2014,7,8.26,0.00000826,0.01
2014,8,8.28,0.00000828,0.01
2014,9,8.31,0.00000831,0.01
2014,10,8.35,0.00000835,0.01
2014,11,8.39,0.00000839,0
2014,12,8.42,0.00000842,0.01
2015,1,8.44,0.00000844,0.01
2015,2,8.47,0.00000847,0.01
2015,3,8.5,0.0000085,0.01
2015,4,8.52,0.00000852,0.01
2015,5,8.54,0.00000854,0.01
2015,6,8.56,0.00000856,0.01
2015,7,8.57,0.00000857,0.01
2015,8,8.6,0.0000086,0.01
2015,9,8.63,0.00000863,0.01
2015,10,8.67,0.00000867,0.01
2015,11,8.71,0.00000871,0.01
2015,12,8.74,0.00000874,0.01
2016,1,8.77,0.00000877,0.01
2016,2,8.8,0.0000088,0.01
2016,3,8.83,0.00000883,0.01
2016,4,8.86,0.00000886,0.01
2016,5,8.89,0.00000889,0.01
2016,6,8.91,0.00000891,0.01
2016,7,8.91,0.00000891,0.01
2016,8,8.92,0.00000892,0.01
2016,9,8.94,0.00000894,0.01
2016,10,8.99,0.00000899,0.01
2016,11,9.03,0.00000903,0.01
2016,12,9.07,0.00000907,0.01
2017,1,9.1,0.0000091,0.01
2017,2,9.13,0.00000913,0.01
2017,3,9.17,0.00000917,0.01
2017,4,9.2,0.0000092,0.01
2017,5,9.23,0.00000923,0.01
2017,6,9.24,0.00000924,0.01
2017,7,9.26,0.00000926,0.01
2017,8,9.29,0.00000929,0.01
2017,9,9.32,0.00000932,0.01
2017,10,9.35,0.00000935,0.01
2017,11,9.39,0.00000939,0.01
2017,12,9.42,0.00000942,0.01
2018,1,9.45,0.00000945,0.01
2018,2,9.48,0.00000948,0.01
2018,3,9.51,0.00000951,0.01
2018,4,9.53,0.00000953,0.01
2018,5,9.55,0.00000955,0.01
2018,6,9.58,0.00000958,0.01
2018,7,9.6,0.0000096,0.01
2018,8,9.63,0.00000963,0.01
2018,9,9.66,0.00000966,0.01
2018,10,9.7,0.0000097,0.01
2018,11,9.75,0.00000975,0.01
2018,12,9.78,0.00000978,0.01
2019,1,9.8,0.0000098,0.01
2019,2,9.82,0.00000982,0.01
2019,3,9.85,0.00000985,0.01
2019,4,9.88,0.00000988,0.01
2019,5,9.9,0.0000099,0.01
2019,6,9.92,0.00000992,0.01
2019,7,9.96,0.00000996,0.01
2019,8,9.98,0.00000998,0.01
2019,9,10,0.00001,0.01
2019,10,10.03,0.00001003,0.01
2019,11,10.07,0.00001007,0.01
2019,12,10.09,0.00001009,0.01
2020,1,10.12,0.00001012,0.01
2020,2,10.15,0.00001015,0.01
2020,3,10.18,0.00001018,0.01
2020,4,10.2,0.0000102,0.01
2020,5,10.23,0.00001023,0.01
2020,6,10.26,0.00001026,0.01
2020,7,10.28,0.00001028,0.01
2020,8,10.3,0.0000103,0.01
2020,9,10.33,0.00001033,0.01
2020,10,10.36,0.00001036,0.01
2020,11,10.39,0.00001039,0.01
2020,12,10.43,0.00001043,0.01
2021,1,10.46,0.00001046,0.01
2021,2,10.49,0.00001049,0.01
2021,3,10.52,0.00001052,0.01
2021,4,10.56,0.00001056,0.01
2021,5,10.6,0.0000106,0.01
2021,6,10.63,0.00001063,0.01
2021,7,10.64,0.00001064,0.01
2021,8,10.67,0.00001067,0.01
2021,9,10.7,0.0000107,0.01
2021,10,10.74,0.00001074,0.01
2021,11,10.79,0.00001079,0.01
2021,12,10.83,0.00001083,0.01
2022,1,10.85,0.00001085,0.01
2022,2,10.89,0.00001089,-9.99
2022,3,10.92,0.00001092,-9.99
2022,4,10.96,0.00001096,-9.99
2022,5,10.99,0.00001099,-9.99
2022,6,11.01,0.00001101,-9.99
2022,7,11.04,0.00001104,-9.99
2022,8,11.05,0.00001105,-9.99
2022,9,11.08,0.00001108,-9.99
2022,10,11.11,0.00001111,-9.99
2022,11,11.15,0.00001115,-9.99
2022,12,11.2,0.0000112,-9.99
2023,1,11.23,0.00001123,-9.99
2023,2,11.26,0.00001126,-9.99
